iter	Passed	Remaining
1053	125999	113088
1054	126081	112935
1055	126151	112771
1056	127036	113335
1057	127235	113285
1058	127405	113209
1059	127538	113100
1060	127707	113022
1061	127912	112977
1062	128135	112947
1063	128303	112868
1064	128466	112784
1065	128613	112687
1066	128792	112617
1067	128979	112555
1068	129245	112560
1069	129579	112624
1070	129682	112488
1071	129746	112317
1072	129806	112144
1073	129867	111971
1074	129935	111805
1075	130000	111635
1076	130066	111468
1077	130127	111296
1078	130194	111130
1079	130260	110962
1080	130321	110791
1081	130383	110621
1082	130450	110455
1083	130513	110286
1084	130584	110124
1085	130658	109964
1086	130725	109799
1087	130789	109632
1088	130868	109477
1089	130938	109315
1090	131009	109154
1091	131080	108993
1092	131151	108833
1093	131226	108675
1094	131309	108525
1095	131392	108374
1096	131467	108218
1097	131539	108059
1098	131613	107901
1099	131682	107740
1100	131745	107574
1101	131822	107420
1102	131935	107294
1103	132016	107144
1104	132087	106984
1105	132192	106853
1106	132322	106742
1107	132462	106639
1108	132607	106540
1109	132766	106452
1110	132905	106348
1111	133040	106241
1112	133188	106143
1113	133315	106029
1114	133444	105917
1115	133587	105816
1116	133731	105716
1117	133862	105605
1118	134005	105503
1119	134204	105446
1120	134333	105333
1121	134460	105219
1122	134612	105124
1123	134794	105053
1124	134946	104958
1125	135141	104896
1126	135342	104839
1127	135528	104770
1128	135609	104620
1129	135699	104476
1130	135809	104348
1131	135932	104231
1132	136024	104089
1133	136122	103952
1134	136207	103805
1135	136278	103648
1136	136352	103493
1137	136426	103338
1138	136495	103180
1139	136570	103026
1140	136645	102873
1141	136723	102722
1142	136796	102567
1143	136868	102411
1144	136940	102256
1145	137016	102104
1146	137081	101944
1147	137147	101785
1148	137211	101625
1149	137280	101468
1150	137343	101306
1151	137403	101144
1152	137470	100986
1153	137534	100826
1154	137610	100676
1155	137687	100525
1156	137753	100368
1157	137821	100211
1158	137891	100057
1159	137953	99897
1160	138019	99740
1161	138151	99630
1162	138353	99571
1163	138566	99520
1164	138747	99445
1165	138947	99384
1166	139106	99293
1167	139257	99197
1168	139448	99129
1169	139589	99025
1170	139786	98961
1171	139961	98880
1172	140118	98787
1173	140291	98706
1174	140428	98599
1175	140621	98530
1176	140814	98462
1177	140951	98354
1178	141084	98244
1179	141229	98142
1180	141380	98044
1181	141513	97934
1182	141570	97771
1183	141633	97612
1184	141687	97447
1185	141746	97286
1186	141800	97122
1187	141864	96964
1188	141934	96811
1189	142002	96657
1190	142075	96506
1191	142148	96355
1192	142215	96201
1193	142286	96049
1194	142358	95898
1195	142438	95753
1196	142523	95611
1197	142601	95464
1198	142672	95313
1199	142743	95162
1200	142816	95013
1201	142888	94862
1202	142955	94709
1203	143043	94570
1204	143127	94428
1205	143209	94285
1206	143279	94135
1207	143347	93983
1208	143417	93832
1209	143498	93689
1210	143581	93547
1211	143659	93402
1212	143737	93257
1213	143814	93112
1214	144005	93040
1215	144650	93261
1216	144851	93195
1217	145057	93132
1218	145245	93057
1219	145454	92995
1220	145654	92927
1221	145811	92832
1222	145988	92749
1223	146147	92655
1224	146281	92545
1225	146428	92443
1226	146685	92410
1227	147056	92448
1228	147230	92363
1229	147394	92271
1230	147511	92149
1231	147567	91990
1232	147621	91829
1233	147674	91668
1234	147734	91511
1235	147791	91353
1236	147853	91198
1237	147916	91043
1238	147976	90887
1239	148046	90737
1240	148104	90581
1241	148174	90431
1242	148241	90280
1243	148303	90126
1244	148367	89973
1245	148440	89826
1246	148512	89679
1247	148577	89527
1248	148647	89378
1249	148718	89230
1250	148783	89080
1251	148852	88931
1252	148921	88782
1253	148983	88629
1254	149057	88484
1255	149139	88343
1256	149202	88191
1257	149272	88044
1258	149333	87892
1259	149401	87743
1260	149467	87594
1261	149546	87452
1262	149630	87314
1263	149708	87171
1264	149781	87027
1265	149861	86886
1266	149926	86737
1267	150005	86596
1268	150178	86509
1269	150370	86433
1270	150510	86327
1271	150680	86238
1272	150869	86160
1273	151042	86073
1274	151448	86118
1275	151591	86012
1276	152065	86095
1277	152232	86002
1278	152450	85939
1279	152633	85856
1280	152775	85749
1281	152957	85665
1282	153144	85584
1283	153312	85492
1284	153443	85378
1285	153500	85224
1286	153580	85083
1287	153657	84941
1288	153719	84789
1289	153788	84643
1290	153859	84497
1291	153930	84352
1292	153995	84203
1293	154056	84052
1294	154127	83907
1295	154197	83761
1296	154262	83613
1297	154330	83466
1298	154393	83318
1299	154463	83172
1300	154528	83024
1301	154597	82879
1302	154661	82731
1303	154734	82588
1304	154802	82442
1305	154864	82293
1306	154930	82147
1307	155001	82003
1308	155066	81857
1309	155155	81723
1310	155225	81579
1311	155287	81431
1312	155366	81292
1313	155437	81149
1314	155504	81004
1315	155571	80859
1316	155642	80716
1317	155707	80571
1318	155779	80428
1319	155844	80283
1320	155913	80140
1321	156077	80046
1322	156297	79980
1323	156512	79911
1324	156646	79801
1325	156797	79699
1326	157009	79628
1327	157170	79531
1328	157353	79446
1329	157647	79416
1330	157831	79330
1331	158052	79263
1332	158232	79175
1333	158427	79094
1334	158584	78995
1335	158749	78899
1336	158957	78824
1337	159362	78847
1338	159455	78715
1339	159515	78567
1340	159593	78428
1341	159669	78288
1342	159736	78143
1343	159807	78001
1344	159889	77864
1345	159962	77723
1346	160029	77579
1347	160099	77436
1348	160158	77289
1349	160224	77145
1350	160314	77012
1351	160401	76878
1352	160474	76738
1353	160551	76599
1354	160634	76464
1355	160705	76323
1356	160771	76179
1357	160848	76041
1358	160919	75901
1359	160993	75761
1360	161065	75621
1361	161136	75480
1362	161239	75355
1363	161353	75235
1364	161427	75096
1365	161503	74958
1366	161571	74816
1367	161638	74675
1368	161717	74539
1369	161844	74424
1370	162165	74399
1371	162315	74296
1372	162539	74225
1373	162766	74156
1374	162918	74053
1375	163081	73955
1376	163250	73859
1377	163506	73803
1378	163723	73728
1379	163890	73631
1380	164100	73553
1381	164285	73464
1382	164464	73372
1383	164625	73272
1384	164775	73167
1385	164905	73053
1386	165083	72960
1387	165213	72846
1388	165348	72734
1389	165411	72590
1390	165469	72444
1391	165524	72298
1392	165586	72154
1393	165656	72014
1394	165725	71873
1395	165800	71735
1396	165875	71598
1397	165944	71458
1398	166022	71321
1399	166091	71182
1400	166154	71039
1401	166226	70901
1402	166300	70763
1403	166368	70623
1404	166447	70488
1405	166508	70345
1406	166587	70210
1407	166664	70074
1408	166736	69936
1409	166814	69801
1410	166904	69671
1411	166990	69540
1412	167076	69408
1413	167151	69272
1414	167224	69135
1415	167303	69000
1416	167408	68877
1417	167506	68751
1418	167575	68612
1419	167663	68482
1420	167744	68349
1421	167818	68213
1422	167954	68102
1423	168139	68011
1424	168329	67922
1425	168499	67825
1426	168675	67730
1427	168870	67642
1428	169030	67541
1429	169307	67486
1430	169471	67386
1431	169617	67278
1432	169825	67195
1433	169979	67090
1434	170115	66979
1435	170248	66866
1436	170386	66755
1437	170519	66642
1438	170709	66551
1439	170839	66437
1440	170987	66330
1441	171129	66220
1442	171277	66113
1443	171358	65980
1444	171412	65836
1445	171473	65695
1446	171539	65557
1447	171606	65419
1448	171671	65280
1449	171736	65141
1450	171804	65003
1451	171886	64871
1452	171951	64733
1453	172015	64594
1454	172080	64456
1455	172146	64318
1456	172229	64187
1457	172297	64050
1458	172369	63915
1459	172436	63777
1460	172505	63641
1461	172563	63501
1462	172628	63364
1463	172694	63227
1464	172763	63091
1465	172826	62953
1466	172893	62816
1467	172964	62682
1468	173032	62546
1469	173092	62407
1470	173164	62273
1471	173241	62140
1472	173322	62010
1473	173398	61877
1474	173470	61743
1475	173551	61613
1476	173621	61478
1477	173695	61345
1478	173776	61215
1479	173985	61130
1480	174310	61085
1481	174461	60978
1482	174620	60875
1483	174778	60772
1484	174992	60687
1485	175133	60577
1486	175270	60466
1487	175403	60353
1488	175532	60239
1489	175652	60122
1490	175788	60010
1491	175953	59908
1492	176083	59795
1493	176214	59681
1494	176346	59568
1495	176485	59457
1496	176632	59349
1497	176764	59236
1498	176932	59134
1499	177085	59028
1500	177235	58921
1501	177315	58790
1502	177367	58650
1503	177423	58511
1504	177485	58375
1505	177543	58237
1506	177605	58101
1507	177666	57965
1508	177738	57832
1509	177800	57696
1510	177870	57563
1511	177937	57429
1512	178013	57298
1513	178094	57169
1514	178167	57037
1515	178258	56910
1516	178343	56782
1517	178425	56654
1518	178503	56524
1519	178583	56394
1520	178656	56263
1521	178722	56129
1522	178809	56002
1523	178910	55880
1524	179089	55781
1525	179169	55652
1526	179243	55522
1527	179314	55390
1528	179387	55259
1529	179456	55127
1530	179534	54997
1531	179611	54868
1532	179686	54738
1533	179757	54606
1534	179877	54490
1535	180063	54394
1536	180211	54286
1537	180349	54175
1538	180518	54073
1539	180642	53958
1540	180769	53843
1541	180910	53733
1542	181056	53624
1543	181172	53506
1544	181305	53394
1545	181435	53280
1546	181609	53179
1547	181742	53067
1548	181865	52951
1549	182003	52839
1550	182143	52728
1551	182267	52613
1552	182429	52508
1553	182625	52413
1554	182756	52299
1555	182938	52200
1556	183291	52150
1557	183414	52034
1558	183495	51906
1559	183560	51773
1560	183629	51642
1561	183707	51513
1562	183778	51382
1563	183847	51251
1564	183916	51120
1565	183991	50991
1566	184069	50862
1567	184145	50733
1568	184215	50603
1569	184290	50474
1570	184361	50344
1571	184442	50217
1572	184528	50091
1573	184617	49966
1574	184690	49837
1575	184763	49707
1576	184846	49581
1577	184929	49455
1578	185006	49327
1579	185090	49201
1580	185172	49074
1581	185252	48947
1582	185331	48820
1583	185399	48690
1584	185467	48561
1585	185539	48432
1586	185604	48301
1587	185680	48174
1588	185867	48075
1589	186001	47962
1590	186123	47846
1591	186247	47731
1592	186386	47620
1593	186508	47504
1594	186643	47392
1595	186776	47279
1596	186913	47167
1597	187089	47065
1598	187228	46953
1599	187357	46839
1600	187490	46726
1601	187659	46621
1602	187944	46546
1603	188123	46444
1604	188267	46333
1605	188764	46309
1606	189010	46223
1607	189154	46112
1608	189236	45985
1609	189301	45855
1610	189366	45725
1611	189443	45598
1612	189508	45467
1613	189575	45338
1614	189641	45208
1615	189708	45079
1616	189770	44948
1617	189841	44820
1618	189934	44697
1619	190017	44572
1620	190105	44447
1621	190176	44319
1622	190246	44191
1623	190316	44063
1624	190390	43936
1625	190470	43810
1626	190549	43684
1627	190626	43558
1628	190707	43433
1629	190791	43308
1630	190872	43183
1631	190948	43056
1632	191023	42930
1633	191119	42808
1634	191190	42681
1635	191265	42555
1636	191335	42428
1637	191414	42302
1638	191493	42177
1639	191575	42053
1640	191662	41929
1641	191777	41812
1642	191914	41700
1643	192077	41593
1644	192236	41485
1645	192398	41378
1646	192595	41278
1647	192921	41206
1648	193110	41104
1649	193291	41001
1650	193448	40892
1651	193600	40782
1652	193786	40679
1653	193951	40572
1654	194115	40465
1655	194250	40351
1656	194377	40236
1657	194516	40123
1658	194644	40008
1659	194813	39901
1660	194955	39789
1661	195137	39684
1662	195211	39558
1663	195290	39433
